alt,tf,peak_corr,peak_lag_h,corr_lag0,n_windows,roll_peak_lag_median,roll_peak_lag_std,roll_peak_corr_mean,roll_peak_corr_min,pct_windows_lag_le_1candle
SOL,1h,0.747,0,0.747,24,0.0,0.0,0.749,0.64,100.0
LTC,1h,0.557,0,0.557,24,0.0,0.0,0.567,0.425,100.0
AVAX,1h,0.661,0,0.661,24,0.0,0.0,0.657,0.547,100.0
LINK,1h,0.681,0,0.681,24,0.0,0.0,0.69,0.556,100.0
XRP,1h,0.624,0,0.624,24,0.0,0.0,0.648,0.394,100.0
BCH,1h,0.39,0,0.39,24,0.0,0.0,0.381,0.256,100.0
AAVE,1h,0.461,0,0.461,24,0.0,0.0,0.475,0.283,100.0
DOT,1h,0.538,0,0.538,24,0.0,0.0,0.544,0.363,100.0
NEAR,1h,0.523,0,0.523,24,0.0,0.0,0.528,0.31,100.0
SUI,1h,0.581,0,0.581,24,0.0,0.0,0.598,0.391,100.0
ZEC,1h,0.239,0,0.239,24,0.0,0.2,0.25,0.066,100.0
